"itemid","xdim","ydim","A","B","C","D", "rule_AB", "rule_AC"
0, 3, 3, "040040040", "000040000", "060060060", "000060000", "example", "example"
1, 3, 3, "000220220", "000000200", "000110110", "000000100", "size", "color"
2, 3, 3, "700000000", "700000700", "770000000", "770000770", "quantity", "size"
3, 3, 3, "040040040", "060060060", "000444000", "000666000", "color", "orientation"
4, 3, 3, "400400000", "000400400", "404404000", "000404404", "position", "quantity"
5, 3, 3, "700770000", "770700000", "700700770", "777700000", "orientation", "shape"
6, 3, 3, "110005005", "330007007", "050050011", "070070033", "color_color", "position"
7, 3, 3, "110000000", "111000000", "000102102", "102102102", "size", "quantity_orientation"
8, 3, 3, "330000000", "000333000", "330440000", "000333444", "size_position", "quantity"
9,  5, 5, "1101111010555551101101011", "1101111010555550000000000", "0110155555000101101111001", "0110155555000000000000000", "above_below", "above_below"
10, 5, 5, "0000003033030000030300000", "0000003333030030333300000", "5500000500005005000000500", "5550050500505005050055500", "complete_shape", "complete_shape"
11, 5, 5, "1111110001111110000000003", "2222220302222220000000000", "3010001010100010101000100", "0020002020203020202000200", "inside_outside", "shape_position_color"
12, 5, 5, "6666033333000007770011000", "0000011000777006666033333", "2200055500600004444433330", "6000022000555003333044444", "order", "order"
13, 5, 5, "0102211022010000007722077", "0002200022000000000022000", "0405544055000000600560055", "0005500055000000000500055", "same_different", "same_different"
14, 5, 5, "4441444244444443244444424", "4444444444444444444444444", "6666676666668666666768666", "6666666666666666666666666", "clean_up", "clean_up"
15, 5, 5, "1001133333011013333311010", "0000033333011013333300000", "0031311313113030031311303", "0031300313003030031300303", "inside_outside", "inside_outside"
16, 5, 5, "0070007070700070707000700", "0000007070000000707000000", "0000006660060600666000000", "0000000600060600060000000", "complete_shape", "rotation_color"